observation_date,NFCI
2014-06-06,-0.79620
2014-06-13,-0.79956
2014-06-20,-0.79892
2014-06-27,-0.79410
2014-07-04,-0.78612
2014-07-11,-0.77641
2014-07-18,-0.76541
2014-07-25,-0.75479
2014-08-01,-0.74453
2014-08-08,-0.73663
2014-08-15,-0.73268
2014-08-22,-0.73029
2014-08-29,-0.72752
2014-09-05,-0.72295
2014-09-12,-0.71292
2014-09-19,-0.69576
2014-09-26,-0.67388
2014-10-03,-0.65146
2014-10-10,-0.63458
2014-10-17,-0.62437
2014-10-24,-0.62765
2014-10-31,-0.63790
2014-11-07,-0.65116
2014-11-14,-0.66040
2014-11-21,-0.66056
2014-11-28,-0.65165
2014-12-05,-0.63519
2014-12-12,-0.61206
2014-12-19,-0.58754
2014-12-26,-0.56564
2015-01-02,-0.54316
2015-01-09,-0.52367
2015-01-16,-0.50673
2015-01-23,-0.49608
2015-01-30,-0.49179
2015-02-06,-0.49418
2015-02-13,-0.50140
2015-02-20,-0.51106
2015-02-27,-0.51964
2015-03-06,-0.52441
2015-03-13,-0.52659
2015-03-20,-0.52850
2015-03-27,-0.53076
2015-04-03,-0.53396
2015-04-10,-0.53792
2015-04-17,-0.54004
2015-04-24,-0.54051
2015-05-01,-0.53757
2015-05-08,-0.53306
2015-05-15,-0.53044
2015-05-22,-0.53023
2015-05-29,-0.53055
2015-06-05,-0.53091
2015-06-12,-0.52964
2015-06-19,-0.52525
2015-06-26,-0.52065
2015-07-03,-0.51473
2015-07-10,-0.51197
2015-07-17,-0.51066
2015-07-24,-0.50593
2015-07-31,-0.49467
2015-08-07,-0.47655
2015-08-14,-0.45308
2015-08-21,-0.42699
2015-08-28,-0.40365
2015-09-04,-0.39015
2015-09-11,-0.38595
2015-09-18,-0.38972
2015-09-25,-0.39996
2015-10-02,-0.41312
2015-10-09,-0.43117
2015-10-16,-0.44703
2015-10-23,-0.46176
2015-10-30,-0.47370
2015-11-06,-0.48061
2015-11-13,-0.47895
2015-11-20,-0.46959
2015-11-27,-0.45374
2015-12-04,-0.43168
2015-12-11,-0.40650
2015-12-18,-0.38277
2015-12-25,-0.36225
2016-01-01,-0.34567
2016-01-08,-0.33135
2016-01-15,-0.31698
2016-01-22,-0.30416
2016-01-29,-0.29334
2016-02-05,-0.28602
2016-02-12,-0.28514
2016-02-19,-0.29632
2016-02-26,-0.31424
2016-03-04,-0.33590
2016-03-11,-0.35609
2016-03-18,-0.37186
2016-03-25,-0.38051
2016-04-01,-0.38381
2016-04-08,-0.38382
2016-04-15,-0.38402
2016-04-22,-0.38511
2016-04-29,-0.38592
2016-05-06,-0.38619
2016-05-13,-0.38635
2016-05-20,-0.38461
2016-05-27,-0.37993
2016-06-03,-0.37229
2016-06-10,-0.36279
2016-06-17,-0.35148
2016-06-24,-0.34220
2016-07-01,-0.33538
2016-07-08,-0.33391
2016-07-15,-0.33702
2016-07-22,-0.34134
2016-07-29,-0.34657
2016-08-05,-0.34958
2016-08-12,-0.34959
2016-08-19,-0.34557
2016-08-26,-0.33811
2016-09-02,-0.32826
2016-09-09,-0.31965
2016-09-16,-0.31353
2016-09-23,-0.31189
2016-09-30,-0.31565
2016-10-07,-0.32419
2016-10-14,-0.33442
2016-10-21,-0.34601
2016-10-28,-0.35874
2016-11-04,-0.37027
2016-11-11,-0.38371
2016-11-18,-0.39693
2016-11-25,-0.40851
2016-12-02,-0.41817
2016-12-09,-0.42593
2016-12-16,-0.43111
2016-12-23,-0.43543
2016-12-30,-0.44155
2017-01-06,-0.44817
2017-01-13,-0.45576
2017-01-20,-0.46260
2017-01-27,-0.46772
2017-02-03,-0.47056
2017-02-10,-0.47192
2017-02-17,-0.47133
2017-02-24,-0.46957
2017-03-03,-0.46834
2017-03-10,-0.46646
2017-03-17,-0.46444
2017-03-24,-0.46299
2017-03-31,-0.46441
2017-04-07,-0.46743
2017-04-14,-0.47338
2017-04-21,-0.48163
2017-04-28,-0.49291
2017-05-05,-0.50522
2017-05-12,-0.51853
2017-05-19,-0.53130
2017-05-26,-0.54438
2017-06-02,-0.55456
2017-06-09,-0.56155
2017-06-16,-0.56564
2017-06-23,-0.56753
2017-06-30,-0.56950
2017-07-07,-0.57157
2017-07-14,-0.57478
2017-07-21,-0.57693
2017-07-28,-0.57588
2017-08-04,-0.57117
2017-08-11,-0.56365
2017-08-18,-0.55611
2017-08-25,-0.55169
2017-09-01,-0.55131
2017-09-08,-0.55544
2017-09-15,-0.56327
2017-09-22,-0.57237
2017-09-29,-0.58092
2017-10-06,-0.58916
2017-10-13,-0.59694
2017-10-20,-0.60449
2017-10-27,-0.61153
2017-11-03,-0.61898
2017-11-10,-0.62418
2017-11-17,-0.62695
2017-11-24,-0.62773
2017-12-01,-0.62659
2017-12-08,-0.62551
2017-12-15,-0.62699
2017-12-22,-0.63182
2017-12-29,-0.63845
2018-01-05,-0.64477
2018-01-12,-0.64450
2018-01-19,-0.63605
2018-01-26,-0.62023
2018-02-02,-0.59906
2018-02-09,-0.57575
2018-02-16,-0.55893
2018-02-23,-0.54644
2018-03-02,-0.53550
2018-03-09,-0.52513
2018-03-16,-0.51415
2018-03-23,-0.50354
2018-03-30,-0.49800
2018-04-06,-0.49868
2018-04-13,-0.50828
2018-04-20,-0.52417
2018-04-27,-0.53927
2018-05-04,-0.55052
2018-05-11,-0.55687
2018-05-18,-0.55789
2018-05-25,-0.55396
2018-06-01,-0.54734
2018-06-08,-0.54247
2018-06-15,-0.53719
2018-06-22,-0.53289
2018-06-29,-0.53059
2018-07-06,-0.53229
2018-07-13,-0.53869
2018-07-20,-0.54853
2018-07-27,-0.56017
2018-08-03,-0.57176
2018-08-10,-0.58195
2018-08-17,-0.58833
2018-08-24,-0.59236
2018-08-31,-0.59544
2018-09-07,-0.59823
2018-09-14,-0.60010
2018-09-21,-0.59939
2018-09-28,-0.59508
2018-10-05,-0.58623
2018-10-12,-0.57262
2018-10-19,-0.55770
2018-10-26,-0.54220
2018-11-02,-0.52733
2018-11-09,-0.51274
2018-11-16,-0.49389
2018-11-23,-0.47069
2018-11-30,-0.44515
2018-12-07,-0.41920
2018-12-14,-0.40026
2018-12-21,-0.39243
2018-12-28,-0.39804
2019-01-04,-0.41684
2019-01-11,-0.44344
2019-01-18,-0.47279
2019-01-25,-0.50129
2019-02-01,-0.52794
2019-02-08,-0.55071
2019-02-15,-0.57024
2019-02-22,-0.58614
2019-03-01,-0.59703
2019-03-08,-0.60289
2019-03-15,-0.60644
2019-03-22,-0.60946
2019-03-29,-0.61220
2019-04-05,-0.61761
2019-04-12,-0.62252
2019-04-19,-0.62543
2019-04-26,-0.62425
2019-05-03,-0.61922
2019-05-10,-0.61030
2019-05-17,-0.60049
2019-05-24,-0.59151
2019-05-31,-0.58311
2019-06-07,-0.57775
2019-06-14,-0.57560
2019-06-21,-0.57522
2019-06-28,-0.57905
2019-07-05,-0.58494
2019-07-12,-0.58820
2019-07-19,-0.58710
2019-07-26,-0.57930
2019-08-02,-0.56328
2019-08-09,-0.54292
2019-08-16,-0.52362
2019-08-23,-0.50973
2019-08-30,-0.50128
2019-09-06,-0.49825
2019-09-13,-0.49544
2019-09-20,-0.48972
2019-09-27,-0.48369
2019-10-04,-0.47819
2019-10-11,-0.47935
2019-10-18,-0.49138
2019-10-25,-0.51312
2019-11-01,-0.53775
2019-11-08,-0.55989
2019-11-15,-0.57138
2019-11-22,-0.57069
2019-11-29,-0.55955
2019-12-06,-0.54419
2019-12-13,-0.53554
2019-12-20,-0.53528
2019-12-27,-0.54519
2020-01-03,-0.56093
2020-01-10,-0.58072
2020-01-17,-0.60169
2020-01-24,-0.61943
2020-01-31,-0.62968
2020-02-07,-0.62088
2020-02-14,-0.57202
2020-02-21,-0.46532
2020-02-28,-0.29447
2020-03-06,-0.08122
2020-03-13,0.14218
2020-03-20,0.33807
2020-03-27,0.45678
2020-04-03,0.49215
2020-04-10,0.45342
2020-04-17,0.36373
2020-04-24,0.25476
2020-05-01,0.13726
2020-05-08,0.02680
2020-05-15,-0.07149
2020-05-22,-0.16126
2020-05-29,-0.23693
2020-06-05,-0.29614
2020-06-12,-0.33243
2020-06-19,-0.35610
2020-06-26,-0.37425
2020-07-03,-0.39229
2020-07-10,-0.41681
2020-07-17,-0.44612
2020-07-24,-0.47647
2020-07-31,-0.50139
2020-08-07,-0.51569
2020-08-14,-0.52173
2020-08-21,-0.52231
2020-08-28,-0.51955
2020-09-04,-0.51621
2020-09-11,-0.51305
2020-09-18,-0.51188
2020-09-25,-0.50749
2020-10-02,-0.50254
2020-10-09,-0.49910
